Timestamp,Seit wann nutzen Sie Bitcoin in der Firma?,Wie viele Ihrer Kunden benutzen Bitcoin?,Wie relevant ist Bitcoin für Ihr Geschäft?,Wie entwickelt sich der Umsatz mit Bitcoin?,Kennen Sie Ihre Kunden persönlich (Name und Adresse ist bekannt)?,Welche Probleme haben Sie mit Bitcoin im Geschäftsumfeld?,Welche Software benutzen Sie um Bitcoin zu akzeptieren?,Was passiert nach dem Erhalt einer Zahlung mit Bitcoin?,Wie schnell akzeptieren Sie Bitcoin Zahlungen?,Warum benutzen Sie Bitcoin?,Wir werden Bitcoins in Zukunft akzeptieren,In welchem Bereich liegt Ihre Geschäftstätigkeit,Das war es auch schon - falls Sie weitere Kommentare haben ist hier Platz:
2/11/2016 10:23:03,2011,2,2,3,No,Sorry - but we did not experience any problems,BitPay,"We convert the balance into traditional currencies immediately (Euro, USD)",We accept them almost instantly - less than one minute,"Cheap transactions, Simple worldwide payment system, Marketing",Yes,Restaurants / Cafe,Kind of big marketing effect because it was the first shop offering bitcoins. Hosts monthly Bitcoin meet-up and people tend to pay in BTC there.
2/10/2016 14:27:30,2012,2,1,2,Yes,Bitcoin is too complex to use,Bitcoin-core,We keep the balance in Bitcoin currency (BTC) at least for some time,We wait 60 minutes (aka 6 blocks),"Marketing, fun",Yes,Software & IT Services,"- tax was not a problem => was VAT free
- currency exchange risk is accepted, but if more revenue is generated then this has to be changed somewhat"
2/10/2016 14:33:28,2012,1,1,1,Yes,Nobody uses it,Coinwidget,We keep the balance in Bitcoin currency (BTC) at least for some time,We wait 60 minutes (aka 6 blocks),fun,Yes,Charity,
2/11/2016 10:12:31,2012,1,1,3,Yes,Sorry - but we did not experience any problems,BitPay,We keep the balance in Bitcoin currency (BTC) at least for some time,We wait 60 minutes (aka 6 blocks),Marketing,Yes,Attorney,
2/11/2016 12:38:38,2012,2,2,1,No,Sorry - but we did not experience any problems,easywallet,We keep the balance in Bitcoin currency (BTC) at least for some time,We accept them almost instantly - less than one minute,Marketing,Yes,Book store,
2/9/2016 11:14:54,2014,1,1,3,Yes,Nobody uses them,Forgot because nobody is using it,We keep the balance in Bitcoin currency (BTC) at least for some time,We accept them almost instantly - less than one minute,No idea,Yes,Car services,
2/10/2016 12:49:14,2015,2,1,1,No,Sorry - but we did not experience any problems,BitPay,"We convert the balance into traditional currencies immediately (Euro, USD)",We accept them almost instantly - less than one minute,"Simple worldwide payment system, Marketing",Yes,Tourismus,
2/9/2016 11:10:05,2015,2,1,2,No,"Sorry - but we did not experience any problems, Accounting after bank account...",BitPay,We keep the balance in Bitcoin currency (BTC) at least for some time,We accept them almost instantly - less than one minute,"Marketing effect of Bitcoin, Fun",Yes,Restaurants / Cafe,
2/9/2016 10:56:27,2008,1,1,3,No,Nobody uses it,BitPay,"We convert the balance into traditional currencies immediately (Euro, USD)",We accept them almost instantly - less than one minute,"Cheaper transactions, Simple worldwide payment system",Yes,Design agency,